STOK KODU	STOK İSMİ	CİNSİ	MUHASEBE KODU	MUHASEBE HESAP İSMİ	STOK İADE MUHASEBE KODU	STOK İADE MUHASEBE HESAP İSMİ	YURT İÇİ SATIŞ MUHASEBE KODU	YURT İÇİ SATIŞ MUHASEBE HESAP İSMİ	YURT DIŞI SATIŞ MUHASEBE KODU	YURT DIŞI SATIŞ MUHASEBE HESAP İSMİ	SATIŞ İADE MUHASEBE KODU	SATIŞ İADE MUHASEBE HESAP İSMİ
153.TKST.57MTH006580	PONPONLU MUTFAK HAVLUSU 30*50 2 Lİ PEMBE ARY	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
153.TKST.57MTH006581	PONPONLU MUTFAK HAVLUSU 30*50 2 Lİ SOMON ARY	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
153.TKST.57MTH010084	CIRCLE MUTFAK HAVLUSU 30X50 3'LÜ KREM-HARDAL - KOY ARY	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
153.TKST.57MTH010087	PAMUK MUTFAK HAVLUSU 40X60 2 Lİ ZEYTİN DALI ARY	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
153.TGO.5301-FAS	TOGO FAS 12 PARÇA PORSELEN FİNCAN TAKIMI	Ticari mal	153.01.04.06.016	Porselen Kahve Takımı	153.01.04.06.016	Porselen Kahve Takımı	600.01.04.06.016	Porselen Kahve Takımı	601.01.04.06.004	Porselen Fincan	610.01.04.06.016	Porselen Fincan
153.TGO.5301-HAWAİ	TOGO HAWAİ 12 PARÇA PORSELEN FİNCAN TAKIMI	Ticari mal	153.01.04.06.016	Porselen Kahve Takımı	153.01.04.06.016	Porselen Kahve Takımı	600.01.04.06.016	Porselen Kahve Takımı	601.01.04.06.004	Porselen Fincan	610.01.04.06.016	Porselen Fincan
153.TGO.5301-KÖLN	TOGO KÖLN 12 PARÇA PORSELEN FİNCAN TAKIMI	Ticari mal	153.01.04.06.016	Porselen Kahve Takımı	153.01.04.06.016	Porselen Kahve Takımı	600.01.04.06.016	Porselen Kahve Takımı	601.01.04.06.004	Porselen Fincan	610.01.04.06.016	Porselen Fincan
153.TGO.5301-LİZBON	TOGO LİZBON 12 PARÇA PORSELEN FİNCAN TAKIMI	Ticari mal	153.01.04.06.016	Porselen Kahve Takımı	153.01.04.06.016	Porselen Kahve Takımı	600.01.04.06.016	Porselen Kahve Takımı	601.01.04.06.004	Porselen Fincan	610.01.04.06.016	Porselen Fincan
153.TGO.5301-LONDON	TOGO LONDON 12 PARÇA PORSELEN FİNCAN TAKIMI	Ticari mal	153.01.04.06.016	Porselen Kahve Takımı	153.01.04.06.016	Porselen Kahve Takımı	600.01.04.06.016	Porselen Kahve Takımı	601.01.04.06.004	Porselen Fincan	610.01.04.06.016	Porselen Fincan
153.SY.042-200-2	OUTDOOR TERMOS 2.0  LİTRE	Ticari mal	153.01.04.01.036	Çelik Termos	153.01.04.01.036	Çelik Termos	600.01.04.01.036	Çelik Termos	601.01.01.01.036	Termos	610.01.04.01.036	Çelik Termos
153.SY.042-2500	OUTDOOR YUBAO TERMOS 2.5 LİTRE	Ticari mal	153.01.04.01.036	Çelik Termos	153.01.04.01.036	Çelik Termos	600.01.04.01.036	Çelik Termos	601.01.01.01.036	Termos	610.01.04.01.036	Çelik Termos
153.SY.042-3200	OUTDOOR TERMOS 3.2 LİTRE	Ticari mal	153.01.04.01.036	Çelik Termos	153.01.04.01.036	Çelik Termos	600.01.04.01.036	Çelik Termos	601.01.01.01.036	Termos	610.01.04.01.036	Çelik Termos
153.SY.042-4000	OUTDOOR D.KADI TERMOS 4.0 LİTRE	Ticari mal	153.01.04.01.036	Çelik Termos	153.01.04.01.036	Çelik Termos	600.01.04.01.036	Çelik Termos	601.01.01.01.036	Termos	610.01.04.01.036	Çelik Termos
153.TABK-95462	95462-1073025 AYAKLI NUHT SERVİS TABAK	Ticari mal	153.01.04.07.006	Cam Tabak (Kase)	153.01.04.07.006	Cam Tabak (Kase)	600.01.04.07.006	Cam Tabak(Kase)	601.01.04.07.006	TANIMSIZ	610.01.04.07.006	Cam Tabak (Kase)
153.TEZEL T1000401	TEZEL SKOÇLU KAPAKLI KÜLLÜK Ø:100 MM H:30 MM 430/1,20 MM	Ticari mal	153.01.04.07.005	Cam Servislikler	153.01.04.07.005	Cam Servislikler	600.01.04.07.005	Cam Servislikler	601	YURT DIŞI SATIŞLAR	610.01.04.07.005	Cam Servislikler
153.RMT.8018.M.PURPLE	ÇELİK ÇAYDANLIK 4 PCS METALİK MOR REMETTA	Ticari mal	153.01.04.01.015	Çelik Çaydanlık	153.01.04.01.015	Çelik Çaydanlık	600.01.04.01.015	Çelik Çaydanlık	601.01.#DMK#.01.015	TANIMSIZ	610.01.#DMK#.01.015	TANIMSIZ
153.RMT.8018.PINK	ÇELİK ÇAYDANLIK 4 PCS KORKMAZ PEMBE REMETTA	Ticari mal	153.01.04.01.015	Çelik Çaydanlık	153.01.04.01.015	Çelik Çaydanlık	600.01.04.01.015	Çelik Çaydanlık	601.01.#DMK#.01.015	TANIMSIZ	610.01.#DMK#.01.015	TANIMSIZ
153.RIO.8037.M.BLACK	ÇELİK DESENLİ ÇAYDANLIK - RİO	Ticari mal	153.01.04.01.015	Çelik Çaydanlık	153.01.04.01.015	Çelik Çaydanlık	600.01.04.01.015	Çelik Çaydanlık	601.01.04.01.015	Çelik Çaydanlık	610.01.04.01.015	Çelik Çaydanlık
153.RIO.8037.M.GOLD	ÇELİK ÇAYDANLIK (DESENLİ) - RİO	Ticari mal	153.01.04.01.015	Çelik Çaydanlık	153.01.04.01.015	Çelik Çaydanlık	600.01.04.01.015	Çelik Çaydanlık	601.01.04.01.015	Çelik Çaydanlık	610.01.04.01.015	Çelik Çaydanlık
153.RIO.8037.M.SILVER	ÇELİK ÇAYDANLIK (DESENLİ) - RİO	Ticari mal	153.01.04.01.015	Çelik Çaydanlık	153.01.04.01.015	Çelik Çaydanlık	600.01.04.01.015	Çelik Çaydanlık	601.01.04.01.015	Çelik Çaydanlık	610.01.04.01.015	Çelik Çaydanlık
153.RMT.7023.PINK	ÇELİK CEZVE SETİ (2-3-4) REMETTA KORKMAZ PEMBE	Ticari mal	153.01.04.01.018	Çelik Cezve Tkm	153.01.04.01.018	Çelik Cezve Tkm	600.01.04.01.018	Çelik Cezve Set	601.01.04.01.018	Çelik Cezve Set	610.01.04.01.018	Çelik Cezve Set
153.RMT.7023.PURPLE	ÇELİK CEZVE SETİ (2-3-4) REMETTA METALİK MOR	Ticari mal	153.01.04.01.018	Çelik Cezve Tkm	153.01.04.01.018	Çelik Cezve Tkm	600.01.04.01.018	Çelik Cezve Set	601.01.04.01.018	Çelik Cezve Set	610.01.04.01.018	Çelik Cezve Set
153.RMT.7023.RED	ÇELİK CEZVE SETİ (2-3-4) REMETTA ELMA ŞEKERİ	Ticari mal	153.01.04.01.018	Çelik Cezve Tkm	153.01.04.01.018	Çelik Cezve Tkm	600.01.04.01.018	Çelik Cezve Set	601.01.04.01.018	Çelik Cezve Set	153.01.04.01.018	Çelik Cezve Tkm
153.PRTT.16461	16461 PEROTTI PİNA COLOR SÜRAHİ 1300 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16812	16812 PEROTTI BRICE 4 PARÇA KESME TAHTASI	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16813	16813 PEROTTI BRICE 4 PARÇA KESME TAHTASI	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16814	16814 PEROTTI FOREST 4 PARÇA KESME TAHTASI	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16407	16407 PEROTTI SAVİO FÜME SÜRAHİ 1900 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16408	16408 PEROTTI SAVİO FÜME SÜRAHİ 1900 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16427	16427 PEROTTI CASA INOX 12*Lİ DÖNER BAHARATLIK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16430	16430 PEROTTI CASA BLACK 12*Lİ DÖNER BAHARATLIK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16455	16455 PEROTTI SANTE LUSTER SÜRAHİ 1300 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16459	16459 PEROTTI PİNA LUSTER SÜRAHİ 1300 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16460	16460 PEROTTI PİNA FÜME SÜRAHİ 1300 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16382	16382 PEROTTI SAVİO BOROSİLLİKAT SÜRAHİ 2250 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16383	16383 PEROTTI SAVİO BOROSİLLİKAT SÜRAHİ 1900 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16394	16394 PEROTTI SAVİO LUSTER SÜRAHİ 2250 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16395	16395 PEROTTI SAVİO LUSTER SÜRAHİ 1900 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16399	16399 PEROTTI SAVİO LUSTER SÜRAHİ 1800 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16400	16400 PEROTTI SAVİO LUSTER SÜRAHİ 2200 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16404	16404 PEROTTI SAVİO FÜME SÜRAHİ 2250 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16320	16320 PEROTTI MOLIVET 350 ML CAM YAĞ YAĞLIK SİRKELİK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16321	16321 PEROTTI MOLIVET 500 ML CAM YAĞ YAĞLIK SİRKELİK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16322	16322 PEROTTI MOLIVET 750 ML CAM YAĞ YAĞLIK SİRKELİK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16363	16363 PEROTTI LUISA 4*LÜ KALP MAGNOLİA KASE	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16364	16364 PEROTTI NOEMİ 4*LÜ KALP MAGNOLİA KASE	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16380	16380 PEROTTI SAVİO BOROSİLLİKAT SÜRAHİ 2250 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.16381	16381 PEROTTI SAVİO BOROSİLLİKAT SÜRAHİ 2250 ML	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15952	15952 PEROTTİ LOZİONE 2`Lİ SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15953	15953 PEROTTİ LOZİONE 2`Lİ SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15954	15954 PEROTTİ LOZİONE 2`Lİ SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15955	15955 PEROTTİ LOZİONE 2`Lİ SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15956	15956 PEROTTİ LOZİONE 2`Lİ SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15957	15957 PEROTTİ LOZİONE 2`Lİ SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15959	15959 PEROTTI STRAW 6*Lİ CAM PİPET+FIRÇA	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15909	15909 PEROTTİ RİNGO STONE LSTR 6LI 100ML FİNCAN	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15910	15910 PEROTTİ RİNGO STONE AMBER 6`LI FİNCAN	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15912	15912 PEROTTİ RİNGO LİNE 6LI 100ML FİNCAN	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15916	15916 PEROTTİ RİNGO STONE 4LÜ 200ML KUPA	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15920	15920 PEROTTİ RİNGO LİNE 4LÜ 200ML KUPA	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15922	15922 PEROTTİ RİNGO LİNE AMBER 4LÜ 200ML KUPA	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15929	15929 PEROTTİ RİNGO LİNE LSTR 6LI KAHVE FİNCANI	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15737	15737 PEROTTİ LEAF CAM SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15744	15744 PEROTTİ SQUARE TOWER CAM SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15745	15745 PEROTTİ CONİC LİNE CAM SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15872	15872 PEROTTİ ADAİ 2Lİ BROSİLİKAT 300ML KUPA	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15874	15874 PEROTTİ CORTES 6LI 400ML RENKLİ KUPA	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15889	15889 PEROTTİ DOUBLE WALL 200ML 2Lİ COFFEE KUPA	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15890	15890 PEROTTİ DOUBLE WALL 200ML 2Lİ KUPA	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15034	15034 PEROTTİ 	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15042	15042 PEROTTİ CHESSY 6`LI PORS. KAHVE FİNCANI	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15058	15058 PEROTTİ 	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15060	15060 PEROTTİ 	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15542	15542 PEROTTİ DOUBLE WALL 280ML CAM KUPA	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15706	15706 PEROTTİ LOTİON WHİTE 2`Lİ SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.15708	15708 PEROTTİ LOTİON 2`Lİ SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.12469	12469 PEROTTİ DOUBLE WALL 300ML CAM KUPA	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.13124	13124 MARLON LECCE TAUPE 2*Lİ SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.13133	13133 MARLON LECCE BLACK 2*Lİ SIVI SABUNLUK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.14018	14018 PEROTTİ VITOR BROSILIKAT CAM ÇAYDANLIK	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.14568	14568 PEROTTİ MORENO 36 PCS ÇATAL KAŞIK BIÇAK SET	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.14569	14569 PEROTTİ MORENO 30 PCS ÇATAL KAŞIK BIÇAK SET	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRTT.14954	14954 PEROTTİ LOCKY 1500ML KİLİTLİ 	Ticari mal	153.01.04.07.007	Cam Aksesuarlar	153.01.04.07.007	Cam Aksesuarlar	600.01.04.07.007	Cam Aksesuarlar	601	YURT DIŞI SATIŞLAR	610.01.01.07.007	Cam Aksesuar
153.PRF.2071.24X14.SYH	Ø 24x14CM PERFECTO DERİN TENCERE (2071)	Mamül	152.01.01.01.002	Çelik Tek Tencere	152.01.01.01.002	Çelik Tek Tencere	600.01.01.01.002	Çelik Tek Tencere	601.01.01.01.002	Çelik Tek Tencere	610.01.01.01.002	Çelik Tek Tencere
153.PRF.2071.26X16.SYH	Ø 26x16CM PERFECTO DERİN TENCERE (2071)	Mamül	152.01.01.01.002	Çelik Tek Tencere	152.01.01.01.002	Çelik Tek Tencere	600.01.01.01.002	Çelik Tek Tencere	601.01.01.01.002	Çelik Tek Tencere	610.01.01.01.002	Çelik Tek Tencere
153.PRF.2071.30X20.SYH	Ø 30x20CM PERFECTO DERİN TENCERE (2071)	Mamül	152.01.01.01.002	Çelik Tek Tencere	152.01.01.01.002	Çelik Tek Tencere	600.01.01.01.002	Çelik Tek Tencere	601.01.01.01.002	Çelik Tek Tencere	610.01.01.01.002	Çelik Tek Tencere
153.PRF.2071.L.30X10.SYH	Ø 30x10CM PERFECTO KARNIYARIK (2071)	Mamül	152.01.01.01.002	Çelik Tek Tencere	152.01.01.01.002	Çelik Tek Tencere	600.01.01.01.002	Çelik Tek Tencere	601.01.01.01.002	Çelik Tek Tencere	610.01.01.01.002	Çelik Tek Tencere
