STOK KODU	STOK İSMİ	CİNSİ	MUHASEBE KODU	MUHASEBE HESAP İSMİ	STOK İADE MUHASEBE KODU	STOK İADE MUHASEBE HESAP İSMİ	YURT İÇİ SATIŞ MUHASEBE KODU	YURT İÇİ SATIŞ MUHASEBE HESAP İSMİ	YURT DIŞI SATIŞ MUHASEBE KODU	YURT DIŞI SATIŞ MUHASEBE HESAP İSMİ	SATIŞ İADE MUHASEBE KODU	SATIŞ İADE MUHASEBE HESAP İSMİ
740.51.702	SAĞLIK MALZEMELERİ GRUBU	Ticari mal	730.01.01.03.005	Sağlık Giderleri Hs.	730.01.01.03.005	Sağlık Giderleri Hs.	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.703	ELEKTRİK MALZEMELERİ GRUBU	Ticari mal	730.01.01.04.011	Elektrik Malzemeleri Giderleri	730.01.01.04.011	Elektrik Malzemeleri Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.704	POLİSAJ MALZEMELERİ GRUBU	Ticari mal	730.01.01.04.005	Fab.Tes.Makine.D.Baş Tamir,Bak.Onar.Gid.Hs.	730.01.01.04.005	Fab.Tes.Makine.D.Baş Tamir,Bak.Onar.Gid.Hs.	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.705	FABRİKA TESİS MAKİNA BAKIM MALZEMELERİ GRUBU	Ticari mal	730.01.01.04.005	Fab.Tes.Makine.D.Baş Tamir,Bak.Onar.Gid.Hs.	730.01.01.04.005	Fab.Tes.Makine.D.Baş Tamir,Bak.Onar.Gid.Hs.						
740.51.706	YANGIN TESİSATI MALZEMELERİ GRUBU	Ticari mal	730.01.01.04.011	Elektrik Malzemeleri Giderleri	730.01.01.04.011	Elektrik Malzemeleri Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.707	BİNA BAKIM ONARIM MALZEMELERİ GRUBU	Ticari mal	730.01.01.04.009	Bina Bakım Onarım Giderleri	730.01.01.04.009	Bina Bakım Onarım Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
730.10.102.ISCILIK	FASON İŞÇİLİK GİDERİ	Tüketim malzemesi	730.01.01.03.006	İşçilik Giderleri Hs.	153	TİCARİ MALLAR	602.01.01.02.006	Diğer Gelirler	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
730.21.015	ARAP SABUNU 15 LT	İlk madde ve malzeme	730.01.01.04.002	Temizlik Giderleri Hs.	730.01.01.04.002	Temizlik Giderleri Hs.	600.01.04.40.022	TANIMSIZ			602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları
740.51.701	KIRTASİYE ÜRÜNLERİ KALEM GRUBU	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.701.001	KEÇELİ KALEM	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.701.002	TÜKENMEZİ KALEM	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.701.003	KURŞUN KALEM	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.701.004	KURŞUN KALEM UÇLU	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.701.005	KURŞUN KALEM UCU	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.701.006	SÜREKLİ FORM	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
