CİNSİ	STOK İSMİ	STOK KODU
Ticari mal	61001 YM3 ÖZEL SERİ OMS 17,5 CM MUTFAK BIÇAĞI	153.01.23.61001-YM03
Ticari mal	OMS MUTFAK BIÇAĞI 16 CM	153.01.23.6101-ART
Ticari mal	OMS MUTFAK BIÇAĞI 13,5 CM	153.01.23.6101-M01
İlk madde ve malzeme	KULP TENC. ÇELİK K004 7MM RADÜS:24	150.06.K004.7.24
İlk madde ve malzeme	KULP TENC. ÇELİK K004 7MM RADÜS:24	150.06.K004.7.24.GOLD
İlk madde ve malzeme	KULP TENC. ÇELİK K004 8MM RADÜS:16	150.06.K004.8.16
İlk madde ve malzeme	KULP TENC. ÇELİK K004 8MM RADÜS:18	150.06.K004.8.18
İlk madde ve malzeme	KULP TENC. ÇELİK K004 8MM RADÜS:20	150.06.K004.8.20
İlk madde ve malzeme	KULP TENC. ÇELİK K004 8MM RADÜS:22	150.06.K004.8.22
İlk madde ve malzeme	KULP TENC. ÇELİK K004 8MM RADÜS:22	150.06.K004.8.22.GOLD
İlk madde ve malzeme	MOP ZIMPARA GÖMME BAŞLI MOP 200x50 220 KUM	150.11.MOP-G013
İlk madde ve malzeme	SERT  SCOTCH	150.11.ZMPR.SKOC.SERT
İlk madde ve malzeme	YUMUŞAK  SCOTCH	150.11.ZMPR.SKOC.YUMUSAK
İlk madde ve malzeme	SAP TAVA HERA BÜYÜK 1164 KORKMAZ PEMBE	150.08.1164.K.PMB
İlk madde ve malzeme	SAP TAVA HERA BÜYÜK 1164 METALİK GOLD	150.08.1164.M.GLD
İlk madde ve malzeme	SAP TAVA HERA BÜYÜK 1164 METALİK MOR	150.08.1164.M.MOR
İlk madde ve malzeme	SAP TAVA HERA BÜYÜK 1164 SOFTAÇ BAZİK KIRMIZI	150.08.1164.SOFT.B.KRM
İlk madde ve malzeme	SAP TAVA HERA BÜYÜK 1164 SOFTAÇ PROTON GRİ	150.08.1164.SOFT.P.GRİ
İlk madde ve malzeme	5MM ÇUBUK (204- 5X1500MM ÇELİK )	150.01.204.5X1500MM
İlk madde ve malzeme	KROM PLAKA LEVHA 585X130 0.08 mm	150.01.CRPL-008
İlk madde ve malzeme	201 - PASLANMAZ SAC 0.50 mm	150.01.P201-050
İlk madde ve malzeme	201 - PASLANMAZ SAC 0.60 mm	150.01.P201-060
İlk madde ve malzeme	201 - PASLANMAZ SAC 0.70 mm	150.01.P201-070
Mamül	3 PCS DÖKÜM GRANİT TAVA SET.(3'LÜ TAVA)	153.3255.03.GREY
Mamül	3 PCS DÖKÜM GRANİT TAVA SET.(3'LÜ TAVA)	153.3255.03.M.BROWN
Mamül	3 PCS DÖKÜM GRANİT TAVA SET.(3'LÜ TAVA)	153.3255.03.RED
İlk madde ve malzeme	301 - PASLANMAZ SAC 0.60 mm	150.01.P301-060
İlk madde ve malzeme	301 - PASLANMAZ SAC 0.66 mm	150.01.P301-066
İlk madde ve malzeme	301 - PASLANMAZ SAC 0.79 mm	150.01.P301-079
Depolanan Yarı mamül	301 - PASLANMAZ SAC 0.80 mm	150.01.P301-080
İlk madde ve malzeme	301 - PASLANMAZ SAC 0.81 mm	150.01.P301-081
İlk madde ve malzeme	301 - PASLANMAZ SAC 0.90 mm	150.01.P301-090
İlk madde ve malzeme	KULP TENC. 7 mm KÜRE Ç.FLANŞ (R-26) K031 GOLD	150.06.K031.7.K.26.GLD
İlk madde ve malzeme	KULP TENC. 7 mm KÜRE Ç.FLANŞ (R-26) K031-KARNIYARIK	150.06.K031.7.K.26.KYARIK
İlk madde ve malzeme	KULP TENC. 7 mm KÜRE Ç.FLANŞ (R-26) K031.SİYAH	150.06.K031.7.K.26.SYH
İlk madde ve malzeme	KULP TENC. 7 mm KÜRE Ç.FLANŞ (R-28) K031.SİYAH	150.06.K031.7.K.28.SYH
İlk madde ve malzeme	KULP TENC. 7 mm KÜRE Ç.FLANŞ (R-30) K031	150.06.K031.7.K.30
İlk madde ve malzeme	KULP TENC. 7 mm KÜRE Ç.FLANŞ (R-30) K031 BAKIR	150.06.K031.7.K.30.BKR
İlk madde ve malzeme	KULP TENC. 7 mm KÜRE Ç.FLANŞ (R-30) K031 GOLD	150.06.K031.7.K.30.GLD
İlk madde ve malzeme	KULP TENC. 8 mm  Ç.FLANŞ (R-28) K032	150.06.K032.8.28
Mamül	SERİ SONU GRANİT Ø 36 x 9,5 CM KARNIYARIK (CAM KPK) - SİYAH	152.3312.36.SS
Mamül	GRANİT Ø 40 CM KARNIYARIK (CAM KPK) - SİYAH	152.3312.40.BLACK
Mamül	GRANİT Ø 40 CM KARNIYARIK (CAM KPK) - KUMBEJİ	152.3312.40.S.BEIGE
Mamül	OMS GASTRO - Ø22x7 CM KARNIYARIK TENC.	152.3313.GASTRO.22.BLACK
Ticari mal	0	(Pcs)"
İlk madde ve malzeme	SAKLAMA KABI-16CM-304	150.01.1099.16
İlk madde ve malzeme	SAKLAMA KABI-20CM-304	150.01.1099.20
İlk madde ve malzeme	SAKLAMA KABI-24CM-304	150.01.1099.24
İlk madde ve malzeme	201 - PASLANMAZ SAC 0.80 mm	150.01.P201-080
İlk madde ve malzeme	201 - PASLANMAZ SAC 1,00 mm	150.01.P201-1,00
İlk madde ve malzeme	201 - PASLANMAZ SAC 1,20 mm	150.01.P201-1,20
İlk madde ve malzeme	301 - PASLANMAZ SAC 0.92 mm	150.01.P301-092
İlk madde ve malzeme	301 - PASLANMAZ SAC 2,5 mm	150.01.P301-2,5
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.36 mm	150.01.P304-036
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.39 mm	150.01.P304-039
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.40 mm	150.01.P304-040
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.46 mm	150.01.P304-046
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.47 mm	150.01.P304-047
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.48 mm	150.01.P304-048
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.49 mm	150.01.P304-049
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.50 mm	150.01.P304-050
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.53 mm	150.01.P304-053
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.56 mm	150.01.P304-056
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.57 mm	150.01.P304-057
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.58 mm	150.01.P304-058
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.59 mm	150.01.P304-059
